지역,사상자수,경도,위도
강원,380,128.2911452,37.68748405
경기,1198,127.0468459,37.42988417
경남,503,128.4654785,35.2327747
경북,739,128.7021663,36.15652883
광주,123,126.8558529,35.15816697
대구,238,128.5741981,35.85264624
대전,171,127.4060217,36.35538832
부산,232,129.0428817,35.16240641
서울,477,126.9872264,37.54882459
세종,33,127.2732818,36.57448718
울산,106,129.2886006,35.54501109
인천,225,126.5958256,37.50742967
전남,617,126.9429443,34.86671902
전북,422,127.0172114,35.75436363
제주,93,126.5656085,33.4128942
충남,577,126.8662959,36.56197146
충북,359,127.716909,36.77751909
